CBF,Time,Type,Game
363229,25:00 - 1T,NR,264
316748,37:00 - 1T,NR,264
419442,09:00 - 1T,NR,265
535680,20:00 - 2T,NR,265
168072,42:00 - 2T,NR,265
410100,21:00 - 2T,NR,266
416189,38:00 - 2T,NR,266
432298,03:00 - 1T,PN,267
174223,+3 - 1T,PN,267
344517,37:00 - 2T,NR,267
437380,15:00 - 1T,NR,269
298793,32:00 - 1T,NR,269
295587,38:00 - 1T,NR,269
178294,01:00 - 2T,NR,269
387443,35:00 - 2T,NR,269
365355,+3 - 2T,NR,269
313001,13:00 - 1T,NR,270
375729,16:00 - 1T,NR,270
321820,09:00 - 2T,NR,270
162905,15:00 - 2T,NR,270
162905,23:00 - 2T,NR,270
293385,37:00 - 2T,CT,270
302323,09:00 - 2T,NR,272
400624,31:00 - 1T,CT,273
293188,34:00 - 1T,NR,273
400624,09:00 - 2T,NR,273
339155,33:00 - 1T,NR,274
161437,37:00 - 1T,NR,274
322398,+3 - 2T,NR,274
337245,45:00 - 1T,NR,275
691623,33:00 - 2T,NR,275
308392,25:00 - 1T,NR,276
326805,01:00 - 2T,CT,276
172296,33:00 - 1T,NR,277
452427,01:00 - 2T,PN,277
363229,26:00 - 2T,NR,277
420539,+5 - 2T,NR,277
402095,44:00 - 1T,NR,278
311439,03:00 - 1T,NR,280
182466,08:00 - 1T,NR,280
170540,08:00 - 2T,PN,280
304035,29:00 - 2T,NR,280
511641,35:00 - 2T,NR,280
391304,08:00 - 1T,NR,282
423003,37:00 - 1T,NR,282
438212,01:00 - 2T,NR,282
427004,09:00 - 1T,NR,283
374851,41:00 - 2T,NR,283
190032,24:00 - 1T,PN,284
179974,06:00 - 1T,NR,286
355362,39:00 - 1T,NR,291
175557,08:00 - 2T,NR,291
509608,29:00 - 2T,NR,291
366405,43:00 - 2T,NR,291
383537,40:00 - 1T,NR,292
339155,+4 - 2T,NR,292
315834,11:00 - 2T,NR,293
500532,05:00 - 1T,NR,294
442637,24:00 - 1T,PN,294
500532,29:00 - 1T,NR,294
391304,30:00 - 2T,NR,294
432298,29:00 - 1T,PN,295
507704,27:00 - 2T,FT,295
324805,+6 - 2T,FT,295
554868,17:00 - 2T,NR,296
159419,25:00 - 1T,NR,297
388312,22:00 - 2T,NR,298
583022,30:00 - 1T,NR,299
328820,44:00 - 1T,NR,299
531707,37:00 - 2T,NR,299
313001,10:00 - 1T,NR,300
305521,33:00 - 2T,NR,300
337261,30:00 - 1T,NR,301
302323,16:00 - 1T,NR,302
376405,39:00 - 1T,NR,302
387443,04:00 - 1T,NR,303
356106,43:00 - 1T,NR,303
293188,13:00 - 2T,NR,303
182423,09:00 - 1T,NR,304
170026,20:00 - 2T,NR,304
