Competição,Ano,Jogo
Serie C,2020,497
Copa do Brasil,2020,497
Serie A,2020,498
Serie B,2020,498
Serie C,2020,498
Copa do Brasil,2020,498
Serie A,2020,499
Serie B,2020,499
Serie C,2020,499
Copa do Brasil,2020,499
Serie A,2020,500
Serie B,2020,500
Serie C,2020,500
Copa do Brasil,2020,500
Serie A,2020,501
Serie B,2020,501
Serie C,2020,501
Copa do Brasil,2020,501
Serie A,2020,502
Serie B,2020,502
Serie C,2020,502
Copa do Brasil,2020,502
Serie A,2020,503
Serie B,2020,503
Serie C,2020,503
Copa do Brasil,2020,503
Serie A,2020,504
Serie B,2020,504
Serie C,2020,504
Copa do Brasil,2020,504
Serie A,2020,505
Serie B,2020,505
Serie C,2020,505
Copa do Brasil,2020,505
Serie A,2020,506
Serie B,2020,506
Serie C,2020,506
Copa do Brasil,2020,506
Serie A,2020,507
Serie B,2020,507
Serie C,2020,507
Copa do Brasil,2020,507
Serie A,2020,508
Serie B,2020,508
Serie C,2020,508
Copa do Brasil,2020,508
Serie A,2020,509
Serie B,2020,509
Serie C,2020,509
Copa do Brasil,2020,509
Serie A,2020,510
Serie B,2020,510
Serie C,2020,510
Copa do Brasil,2020,510
Serie A,2020,511
Serie B,2020,511
Serie C,2020,511
Copa do Brasil,2020,511
Serie A,2020,512
Serie B,2020,512
Serie C,2020,512
Copa do Brasil,2020,512
Serie A,2020,513
Serie B,2020,513
Serie C,2020,513
Copa do Brasil,2020,513
Serie A,2020,514
Serie B,2020,514
Serie C,2020,514
Copa do Brasil,2020,514
Serie A,2020,515
Serie B,2020,515
Serie C,2020,515
Copa do Brasil,2020,515
Serie A,2020,516
Serie B,2020,516
Serie C,2020,516
Copa do Brasil,2020,516
Serie A,2020,517
Serie B,2020,517
Serie C,2020,517
Copa do Brasil,2020,517
Serie A,2020,518
Serie B,2020,518
Serie C,2020,518
Copa do Brasil,2020,518
Serie A,2020,519
Serie B,2020,519
Serie C,2020,519
Serie D,2020,519
Copa do Brasil,2020,519
Serie A,2020,520
Serie B,2020,520
Serie C,2020,520
Serie D,2020,520
Copa do Brasil,2020,520
Serie A,2020,521
Serie B,2020,521
Serie C,2020,521
Serie D,2020,521
Copa do Brasil,2020,521
Serie A,2020,522
Serie B,2020,522
Serie C,2020,522
Serie D,2020,522
Copa do Brasil,2020,522
Serie A,2020,523
Serie B,2020,523
Serie C,2020,523
Serie D,2020,523
Copa do Brasil,2020,523
Serie A,2020,524
Serie B,2020,524
