Competição,Ano,Jogo
Serie B,2013,459
Serie C,2013,459
Serie D,2013,459
Copa do Brasil,2013,459
Serie A,2013,460
Serie B,2013,460
Serie C,2013,460
Serie D,2013,460
Copa do Brasil,2013,460
Serie A,2013,461
Serie B,2013,461
Serie C,2013,461
Serie D,2013,461
Copa do Brasil,2013,461
Serie A,2013,462
Serie B,2013,462
Serie C,2013,462
Serie D,2013,462
Copa do Brasil,2013,462
Serie A,2013,463
Serie B,2013,463
Serie C,2013,463
Serie D,2013,463
Copa do Brasil,2013,463
Serie A,2013,464
Serie B,2013,464
Serie C,2013,464
Serie D,2013,464
Copa do Brasil,2013,464
Serie A,2013,465
Serie B,2013,465
Serie C,2013,465
Serie D,2013,465
Copa do Brasil,2013,465
Serie A,2013,466
Serie B,2013,466
Serie C,2013,466
Serie D,2013,466
Copa do Brasil,2013,466
Serie A,2013,467
Serie B,2013,467
Serie C,2013,467
Serie D,2013,467
Copa do Brasil,2013,467
Serie A,2013,468
Serie B,2013,468
Serie C,2013,468
Serie D,2013,468
Copa do Brasil,2013,468
Serie A,2013,469
Serie B,2013,469
Serie C,2013,469
Serie D,2013,469
Copa do Brasil,2013,469
Serie A,2013,470
Serie B,2013,470
Serie C,2013,470
Serie D,2013,470
Copa do Brasil,2013,470
Serie A,2013,471
Serie B,2013,471
Serie C,2013,471
Serie D,2013,471
Copa do Brasil,2013,471
Serie A,2013,472
Serie B,2013,472
Serie C,2013,472
Serie D,2013,472
Copa do Brasil,2013,472
Serie A,2013,473
Serie B,2013,473
Serie C,2013,473
Serie D,2013,473
Copa do Brasil,2013,473
Serie A,2013,474
Serie B,2013,474
Serie C,2013,474
Serie D,2013,474
Copa do Brasil,2013,474
Serie A,2013,475
Serie B,2013,475
Serie C,2013,475
Serie D,2013,475
Copa do Brasil,2013,475
Serie A,2013,476
Serie B,2013,476
Serie C,2013,476
Serie D,2013,476
Copa do Brasil,2013,476
Serie A,2013,477
Serie B,2013,477
Serie C,2013,477
Serie D,2013,477
Copa do Brasil,2013,477
Serie A,2013,478
Serie B,2013,478
Serie C,2013,478
Serie D,2013,478
Copa do Brasil,2013,478
Serie A,2013,479
Serie B,2013,479
Serie C,2013,479
Serie D,2013,479
Copa do Brasil,2013,479
Serie A,2013,480
Serie B,2013,480
Serie C,2013,480
Serie D,2013,480
Copa do Brasil,2013,480
Serie A,2013,481
Serie B,2013,481
Serie C,2013,481
Serie D,2013,481
Copa do Brasil,2013,481
Serie A,2013,482
Serie B,2013,482
Serie C,2013,482
Serie D,2013,482
Copa do Brasil,2013,482
Serie A,2013,483
Serie B,2013,483
Serie C,2013,483
Serie D,2013,483
Copa do Brasil,2013,483
Serie A,2013,484
Serie B,2013,484
Serie C,2013,484
Serie D,2013,484
Copa do Brasil,2013,484
Serie A,2013,485
Serie B,2013,485
Serie C,2013,485
Serie D,2013,485
Copa do Brasil,2013,485
Serie A,2013,486
Serie B,2013,486
Serie C,2013,486
Serie D,2013,486
Copa do Brasil,2013,486
Serie A,2013,487
Serie B,2013,487
Serie C,2013,487
Serie D,2013,487
Copa do Brasil,2013,487
Serie A,2013,488
Serie B,2013,488
Serie C,2013,488
Serie D,2013,488
Copa do Brasil,2013,488
Serie A,2013,489
Serie B,2013,489
Serie C,2013,489
Serie D,2013,489
Copa do Brasil,2013,489
Serie A,2013,490
Serie B,2013,490
Serie C,2013,490
Serie D,2013,490
Copa do Brasil,2013,490
Serie A,2013,491
Serie B,2013,491
Serie C,2013,491
Serie D,2013,491
Copa do Brasil,2013,491
Serie A,2013,492
Serie B,2013,492
Serie C,2013,492
Serie D,2013,492
Copa do Brasil,2013,492
Serie A,2013,493
Serie B,2013,493
Serie C,2013,493
Serie D,2013,493
Copa do Brasil,2013,493
Serie A,2013,494
Serie B,2013,494
Serie C,2013,494
Serie D,2013,494
Copa do Brasil,2013,494
Serie A,2013,495
Serie B,2013,495
Serie C,2013,495
Serie D,2013,495
Copa do Brasil,2013,495
Serie A,2013,496
Serie B,2013,496
Serie C,2013,496
Serie D,2013,496
Copa do Brasil,2013,496
Serie A,2013,497
Serie B,2013,497
Serie C,2013,497
Serie D,2013,497
Copa do Brasil,2013,497
Serie A,2013,498
Serie B,2013,498
Serie C,2013,498
Serie D,2013,498
Copa do Brasil,2013,498
Serie A,2013,499
Serie B,2013,499
Serie C,2013,499
Serie D,2013,499
Copa do Brasil,2013,499
Serie A,2013,500
Serie B,2013,500
Serie C,2013,500
Serie D,2013,500
Copa do Brasil,2013,500
Serie A,2013,501
Serie B,2013,501
Serie C,2013,501
Serie D,2013,501
Copa do Brasil,2013,501
Serie A,2013,502
Serie B,2013,502
Serie C,2013,502
Serie D,2013,502
Copa do Brasil,2013,502
Serie A,2013,503
Serie B,2013,503
Serie C,2013,503
Serie D,2013,503
Copa do Brasil,2013,503
Serie A,2013,504
Serie B,2013,504
Serie C,2013,504
Serie D,2013,504
Copa do Brasil,2013,504
Serie A,2013,505
Serie B,2013,505
Serie C,2013,505
Serie D,2013,505
Copa do Brasil,2013,505
Serie A,2013,506
Serie B,2013,506
Serie C,2013,506
Serie D,2013,506
Copa do Brasil,2013,506
Serie A,2013,507
Serie B,2013,507
Serie C,2013,507
Serie D,2013,507
Copa do Brasil,2013,507
Serie A,2013,508
Serie B,2013,508
Serie C,2013,508
Serie D,2013,508
Copa do Brasil,2013,508
Serie A,2013,509
Serie B,2013,509
Serie C,2013,509
Serie D,2013,509
Copa do Brasil,2013,509
Serie A,2013,510
Serie B,2013,510
Serie C,2013,510
Serie D,2013,510
Copa do Brasil,2013,510
Serie A,2013,511
Serie B,2013,511
Serie C,2013,511
Serie D,2013,511
Copa do Brasil,2013,511
Serie A,2013,512
Serie B,2013,512
Serie C,2013,512
Serie D,2013,512
Copa do Brasil,2013,512
Serie A,2013,513
Serie B,2013,513
Serie C,2013,513
Serie D,2013,513
Copa do Brasil,2013,513
Serie A,2013,514
